Rank,Driver,Laps,AverageLapTime,BestLapTime,LapTimeStd,AverageSpeed,MaximumSpeed,AverageThrottle,AverageBrake,AverageGearChanges,AverageRPM,DRSUsage,LapTimeScore,SpeedScore,MaxSpeedScore,ThrottleScore,ConsistencyScore,PerformanceScore
1,VER,20,85.56925,84.918,1.1785859446588367,241.36291485028838,333.45,73.21161637202383,0.16240604393066568,34.55,10450.191192731942,3.1130207239719634,100.0,100.0,50.0,42.44010098995458,100.0,89.24
2,LEC,20,86.1389,83.826,4.661575088450595,240.15257208783754,335.4,76.04396608151436,0.17018281324653523,39.05,10669.003475876787,10.04266118708163,46.76665732174523,49.36859991994988,75.99999999999984,100.0,2.2356036213814434,48.98
3,PIA,20,86.0041,83.986,4.51189457113668,240.41879923606157,329.7,74.11903579041616,0.13267173184394723,32.35,10443.368630834582,0.0,59.363610877488746,60.505489131900994,0.0,60.88096297370027,6.437002138777798,45.93
4,NOR,20,86.09105,83.882,4.42708594277735,240.15819742285598,337.2,71.12326650037676,0.15340077703878757,43.1,10665.83090295413,2.7799021694062604,51.23820203719337,49.60392052229399,100.0,0.0,8.81750463733631,44.22
5,HAM,20,86.63935000000001,84.64,4.741221497895374,238.97241654185282,335.65,73.71796720244706,0.16716003066046076,35.15,10469.638448251822,2.9795684307149846,0.0,0.0,79.33333333333317,52.73032135545327,0.0,13.21
