Driver,Lap,LapTime,Sector1,Sector2,Sector3,MaxSpeed,AvgSpeed,MinSpeed,MaxThrottle,AvgThrottle,MinThrottle,MaxBrake,AvgBrake,BrakingSamples,MinGear,MaxGear,MostUsedGear,GearChanges,MaxRPM,AvgRPM,MinRPM,DRSUsage,TelemetrySamples
LEC,7,84.434,27.645,28.701,28.088,340.0,245.2795163804157,66.0,100.0,77.49455805224237,0.0,True,0.15566037735849056,99,2,8,8,39,12073.0,10794.991562031499,5797.0,19.025157232704405,636
LEC,8,84.569,27.557,28.771,28.241,340.0,243.74113554530265,69.0,100.0,76.8199370565091,0.0,True,0.14797507788161993,95,2,8,8,38,12091.0,10751.447378738525,6025.0,19.937694704049843,642
LEC,9,84.362,27.542,28.781,28.039,341.0,243.7461859706541,69.0,100.0,76.76663830778521,0.0,True,0.16037735849056603,102,2,8,8,39,12176.0,10778.27114647676,6144.0,18.553459119496853,636
LEC,10,84.432,27.515,28.84,28.077,342.0,246.20482206255718,64.0,100.0,76.04945284187272,0.0,True,0.16640986132511557,108,2,8,8,40,12301.0,10869.11953717246,5622.0,20.184899845916796,649
LEC,11,84.846,27.633,28.951,28.262,333.0,246.52094556332287,68.0,100.0,78.49361315878562,0.0,True,0.16307692307692306,106,2,8,8,39,12081.0,10781.230938775421,5868.0,0.0,650
LEC,12,84.916,27.68,28.971,28.265,331.0,242.54315609494444,68.0,100.0,78.10393866344775,0.0,True,0.15716486902927582,102,2,8,8,37,12008.0,10730.540999134138,6066.0,0.0,649
LEC,13,85.529,27.812,29.177,28.54,332.0,242.13029763314907,67.0,100.0,77.813913597706,0.0,True,0.15325077399380804,99,2,8,8,38,11992.0,10658.927819127366,5755.0,0.0,646
LEC,14,85.606,27.839,29.217,28.55,331.0,240.3449766228239,66.0,100.0,77.90636132460082,0.0,True,0.1506849315068493,99,2,8,8,35,11898.0,10634.624698913833,5939.0,0.0,657
LEC,15,90.192,28.034,29.361,32.797,330.0,228.17102457107998,63.0,100.0,73.99593853956635,0.0,True,0.19400855920114124,136,2,8,8,38,12032.0,10392.802860353444,5639.0,0.0,701
LEC,16,104.888,47.985,28.75,28.153,320.0,198.97679236094297,0.0,100.0,70.57141024954937,0.0,True,0.19125,153,1,8,8,47,12167.0,9883.874670249952,3545.0,0.0,800
LEC,17,84.27,27.458,28.73,28.082,334.0,247.61239705952897,67.0,100.0,77.72773311966166,0.0,True,0.19047619047619047,124,2,8,8,38,12003.0,10752.05696152366,6143.0,0.0,651
LEC,18,83.875,27.408,28.571,27.896,340.0,248.9705810613818,67.0,100.0,76.75754591960666,0.0,True,0.17041800643086816,106,2,8,8,35,12085.0,10736.267265951908,5876.0,9.807073954983924,622
LEC,19,84.203,27.354,28.722,28.127,343.0,245.83507246993696,69.0,100.0,76.57430662907507,0.0,True,0.15772870662460567,100,2,8,8,35,12216.0,10722.47678233437,6156.0,20.031545741324923,634
LEC,20,83.826,27.483,28.623,27.72,335.0,245.77164210129354,68.0,100.0,76.06747741831263,0.0,True,0.1871069182389937,119,2,8,8,34,11951.0,10721.76237332099,5933.0,10.377358490566039,636
NOR,1,88.971,,31.051,28.624,323.0,221.2772804823887,0.0,100.0,71.25423973015307,0.0,True,0.16909620991253643,116,1,8,8,46,12242.0,10416.61706867543,3791.0,0.0,686
NOR,2,85.458,27.676,29.408,28.374,340.0,240.27495467852842,65.0,99.0,70.33744416752646,0.0,True,0.16542473919523099,111,2,8,8,43,12372.0,10695.090745081798,5573.0,9.538002980625931,671
NOR,3,85.11,27.513,29.381,28.216,348.0,242.37856550460248,66.0,99.0,68.74177407816298,0.0,True,0.16253869969040247,105,2,8,8,44,12717.0,10730.002723190972,5919.0,8.359133126934983,646
NOR,4,85.168,27.638,29.468,28.062,344.0,243.1732341901797,68.0,100.0,70.7507177879653,0.0,True,0.15606060606060607,103,2,8,8,45,12271.0,10703.347424144704,5910.0,7.878787878787878,660
NOR,5,84.674,27.524,29.143,28.007,339.0,244.22928985620473,68.0,99.0,70.33399877649654,0.0,True,0.15114503816793892,99,2,8,8,43,12339.0,10728.199582950921,5976.0,0.0,655
NOR,6,84.768,27.75,29.004,28.014,337.0,242.79544002266533,70.0,99.0,71.60417587932511,0.0,True,0.14786585365853658,97,2,8,8,42,12468.0,10733.589615328141,6086.0,0.0,656
NOR,7,84.531,27.587,28.963,27.981,340.0,244.26348655037978,68.0,99.0,72.1058519724163,0.0,True,0.14890282131661442,95,2,8,8,40,12158.0,10703.118154297339,6064.0,0.0,638
NOR,8,84.674,27.651,28.986,28.037,337.0,242.82644571250603,66.0,99.0,72.49052252108277,0.0,True,0.15085536547433903,97,2,8,8,41,12052.0,10669.853938373688,5997.0,0.0,643
NOR,9,84.664,27.658,28.998,28.008,337.0,243.07928973141165,65.0,99.0,71.51645546557239,0.0,True,0.16012558869701726,102,2,8,8,42,11939.0,10676.944694313508,5633.0,0.0,637
NOR,10,84.391,27.54,28.898,27.953,337.0,246.83331512435305,64.0,100.0,73.69448588722338,0.0,True,0.1411042944785276,92,2,8,8,40,12278.0,10757.720944137669,6025.0,0.0,652
NOR,11,84.448,27.574,28.908,27.966,336.0,247.82409667528535,71.0,100.0,74.32060161198247,0.0,True,0.1437403400309119,93,2,8,8,43,12231.0,10811.907077213835,6415.0,0.0,647
NOR,12,84.655,27.666,28.925,28.064,336.0,242.94437183423642,68.0,100.0,72.31935324356739,0.0,True,0.14440993788819875,93,2,8,8,43,12272.0,10739.094404281432,5812.0,0.0,644
NOR,13,85.359,27.854,29.182,28.323,337.0,242.14007104804224,64.0,100.0,72.79018590657205,0.0,True,0.14883720930232558,96,2,8,8,41,12354.0,10707.218366627892,5670.0,0.0,645
