Rank,Driver,Laps,Average Lap Time,Best Lap Time,Lap Time Std,Average Speed,Maximum Speed,Average Throttle,Average Brake,Average Gear Changes,Average RPM,DRS Usage
1,VER,20,85.56925,84.918,1.178585944658839,241.36291485028832,333.45,73.21161637202383,0.16240604393066566,34.55,10450.191192731942,3.113020723971963
2,PIA,20,86.00410000000001,83.986,4.511894571136678,240.41879923606157,329.7,74.11903579041615,0.13267173184394726,32.35,10443.368630834582,0.0
3,NOR,20,86.09105000000002,83.882,4.427085942777353,240.15819742285603,337.2,71.12326650037676,0.15340077703878757,43.1,10665.83090295413,2.7799021694062604
4,LEC,20,86.13889999999999,83.826,4.661575088450594,240.15257208783754,335.4,76.04396608151436,0.17018281324653523,39.05,10669.003475876787,10.04266118708163
5,HAM,20,86.63935000000001,84.64,4.741221497895376,238.97241654185282,335.65,73.71796720244706,0.1671600306604607,35.15,10469.638448251822,2.979568430714984
